缺陷类型,影响模块数,复现概率,数据影响,业务中断,严重程度
功能,1,必现,0,0,一般
界面,1,偶发,1,1,严重
性能,1,必现,0,1,严重
性能,5,必现,0,0,严重
功能,4,偶发,0,0,严重
功能,5,必现,1,0,致命
功能,4,偶发,0,0,严重
界面,5,必现,0,0,严重
性能,5,偶发,0,1,致命
性能,3,必现,1,0,严重
功能,5,偶发,0,0,严重
界面,2,偶发,0,0,轻微
界面,3,必现,0,0,一般
功能,5,必现,0,0,严重
功能,1,偶发,0,0,一般
功能,2,必现,1,0,严重
功能,2,必现,0,0,一般
性能,2,必现,0,0,一般
功能,3,必现,1,0,严重
功能,5,偶发,0,1,致命
性能,5,必现,0,0,严重
功能,1,必现,1,1,致命
功能,1,必现,0,0,一般
功能,2,必现,0,0,一般
功能,1,必现,0,1,严重
性能,3,必现,0,0,一般
功能,5,偶发,0,0,严重
性能,2,必现,0,0,一般
性能,1,必现,0,0,一般
功能,3,偶发,0,0,一般
性能,3,必现,1,0,严重
功能,1,偶发,1,0,一般
功能,5,必现,0,0,严重
界面,1,必现,0,0,轻微
界面,2,必现,1,1,严重
界面,1,必现,0,1,一般
功能,3,偶发,0,0,一般
功能,1,必现,1,1,致命
性能,5,必现,0,0,严重
功能,4,必现,1,0,致命
功能,1,必现,1,0,严重
功能,5,偶发,0,1,致命
功能,5,必现,0,0,严重
界面,3,必现,0,0,一般
功能,5,必现,1,0,致命
性能,5,必现,1,1,致命
功能,5,偶发,1,1,致命
性能,5,必现,0,1,致命
性能,2,偶发,1,0,一般
功能,2,必现,1,0,严重
界面,3,必现,1,0,严重
性能,1,偶发,1,0,一般
界面,5,必现,1,0,严重
界面,1,必现,1,0,一般
性能,1,偶发,0,1,一般
界面,3,必现,0,1,严重
功能,5,偶发,0,1,致命
功能,5,必现,1,1,致命
功能,4,偶发,0,0,严重
功能,1,偶发,1,0,一般
功能,1,必现,1,1,致命
功能,2,偶发,1,0,严重
界面,4,必现,0,1,严重
功能,2,偶发,0,0,一般
功能,2,必现,0,0,一般
性能,2,必现,1,0,严重
功能,3,必现,1,1,致命
界面,3,必现,1,1,致命
功能,2,必现,0,0,一般
界面,4,偶发,1,1,致命
性能,1,偶发,1,0,一般
功能,4,偶发,0,0,严重
功能,5,必现,1,0,致命
界面,3,必现,0,0,一般
性能,1,必现,0,0,一般
性能,1,必现,1,1,严重
性能,5,必现,0,1,致命
功能,5,必现,1,0,致命
功能,2,偶发,1,0,严重
功能,3,必现,0,1,致命
界面,3,必现,0,1,严重
性能,4,必现,0,1,致命
功能,2,必现,0,0,一般
功能,2,必现,0,0,一般
功能,2,偶发,0,0,一般
功能,2,必现,0,0,一般
性能,3,必现,0,0,一般
性能,3,必现,0,1,严重
